"STATION","DATE","ACMH","ACSH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WDFM","WESD","WSF1","WSF2","WSF5","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV01"
"USW00094789","1970-05-06","   70","   70",,,,"    0","    0","    0",,"  139","   61",,"  320",,,,,,"  130",,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","1970-05-07","    0","    0",,,,"    0","    0","    0",,"  161","   33",,"  300",,,,,,"  112",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-05-08","   80","   90",,,,"    0","    0","    0",,"  183","  100",,"  180",,,,,,"   67",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-09","   40","   20",,,,"    0","    0","    0",,"  278","  117",,"  180",,,,,,"   80",,,,,"    1",,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-05-10","   30","   30",,,,"    0","    0","    0",,"  306","  156",,"  180",,,,,,"   89",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-05-11","   60","   60",,,,"    0","    0","    0",,"  294","  161",,"  180",,,,,,"   76",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-05-12","   40","   40",,,,"    0","    0","    0",,"  294","  150",,"  160",,,,,,"   63",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-05-13","   80","   80",,,,"    0","    0","    0",,"  233","  139",,"  180",,,,,,"   58",,,,,,,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-05-14","  100","  100",,,,"    5","    0","    0",,"  211","  122",,"   50",,,,,,"   80",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-15","   80","   80",,,,"    0","    0","    0",,"  178","   89",,"   90",,,,,,"   80",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-05-16","   80","   80",,,,"   18","    0","    0",,"  156","  100",,"  150",,,,,,"   94",,,,,"    1",,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-17","  100","  100",,,,"  157","    0","    0",,"  183","  139",,"  160",,,,,,"   89",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-18","  100","  100",,,,"   33","    0","    0",,"  194","  128",,"  340",,,,,,"   98",,,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00094789","1970-05-19","   90","   90",,,,"   38","    0","    0",,"  194","  128",,"  330",,,,,,"   58",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-20","   40","   30",,,,"    3","    0","    0",,"  278","  128",,"   20",,,,,,"   76",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-21","   30","   10",,,,"    0","    0","    0",,"  239","  133",,"   10",,,,,,"   80",,,,,"    1","    1",,,,,,,,,,,,"    1",,,,,,
"USW00094789","1970-05-22","   70","   60",,,,"    0","    0","    0",,"  261","  133",,"  180",,,,,,"   80",,,,,"    1","    1","    1",,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-23","   80","   90",,,,"    0","    0","    0",,"  272","  144",,"  100",,,,,,"   76",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-24","  100","  100",,,,"   23","    0","    0",,"  183","  144",,"   60",,,,,,"   67",,,,,,,,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-25","  100","  100",,,,"   25","    0","    0",,"  150","  133",,"   90",,,,,,"   76",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-26","  100","  100",,,,"  198","    0","    0",,"  200","  139",,"  180",,,,,,"   89",,,,,"    1","    1",,,,,,"    1",,,,,,"    1",,,,,,
"USW00094789","1970-05-27","   10","   10",,,,"    0","    0","    0",,"  217","  144",,"  330",,,,,,"  103",,,,,"    1","    1",,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-05-28","   50","   80",,,,"    0","    0","    0",,"  211","  128",,"  360",,,,,,"   72",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-05-29","    0","    0",,,,"    0","    0","    0",,"  217","  122",,"  150",,,,,,"   76",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-05-30","    0","   10",,,,"    0","    0","    0",,"  183","   94",,"  150",,,,,,"   63",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-05-31","   30","   20",,,,"    0","    0","    0",,"  233","  144",,"  190",,,,,,"   94",,,,,"    1",,,,,,,"    1",,,,,,,,,,,,
"USW00094789","1970-06-01","   20","   10",,,,"    0","    0","    0",,"  244","  178",,"  180",,,,,,"   89",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-06-02","   30","   20",,,,"    0","    0","    0",,"  250","  183",,"  190",,,,,,"  130",,,,,,,,,,,,,,,,,,,,,,,,
"USW00094789","1970-06-03","   60","   60",,,,"   18","    0","    0",,"  256","  172",,"  190",,,,,,"   94",,,,,,,,,,,,,,,,,,"    1",,,,,,
